
-----   100   290           2107 
-----   100   300           1615 
-----   100   310           1248 
-----   100   320           1181 
-----   100   330           1239 
-----   100   340           1777 
-----   100   350           1763 
-----   110     0           3344 
-----   110    10           4855 
-----   110    20           6165 
-----   110    30           7705 
-----   110    40           8452 
-----   110    50           6463 
-----   110    60           4396 
-----   110    70           2639 
-----   110    80           2041 
-----   110    90           2277 
-----   110   100           2102 
-----   110   110           2334 
-----   110   120           2113 
-----   110   130           1964 
-----   110   140           2073 
-----   110   150           2884 
-----   110   160           4098 
-----   110   170           4695 
-----   110   180           5411 
-----   110   190           7768 
-----   110   200           9072 
-----   110   210           9813 
-----   110   220          10729 
-----   110   230          12120 
-----   110   240          11360 
-----   110   250          10735 
-----   110   260           8074 
-----   110   270           5662 
-----   110   280           3411 
-----   110   290           2081 
-----   110   300           1403 
-----   110   310           1146 
-----   110   320           1126 
-----   110   330           1114 
-----   110   340           1316 
-----   110   350           2183 
-----   120     0           3336 
-----   120    10           4632 
-----   120    20           6873 
-----   120    30           5935 
-----   120    40           5972 
-----   120    50           5196 
-----   120    60           4331 
-----   120    70           2614 
-----   120    80           1985 
-----   120    90           2020 
-----   120   100           2180 
-----   120   110           1807 
-----   120   120           1498 
-----   120   130           1718 
-----   120   140           2174 
-----   120   150           2736 
-----   120   160           3810 
-----   120   170           4418 
-----   120   180           5432 
-----   120   190           6687 
-----   120   200           8059 
-----   120   210           9687 
-----   120   220          10866 
-----   120   230          10813 
-----   120   240          11205 
-----   120   250           9618 
-----   120   260           7041 
-----   120   270           5063 
-----   120   280           3687 
-----   120   290           2380 
-----   120   300           1397 
-----   120   310           1042 
-----   120   320            925 
-----   120   330           1112 
-----   120   340           1553 
-----   120   350           2208 
-----   130     0           3000 
-----   130    10           3670 
-----   130    20           4213 
-----   130    30           3704 
-----   130    40           4120 
-----   130    50           4113 
-----   130    60           3509 
-----   130    70           2800 
-----   130    80           1995 
-----   130    90           2030 
-----   130   100           2008 
-----   130   110           1554 
-----   130   120           1449 
-----   130   130           1606 
-----   130   140           2049 
-----   130   150           2757 
-----   130   160           3489 
-----   130   170           4080 
-----   130   180           4893 
-----   130   190           6374 
-----   130   200           7810 
-----   130   210           8601 
-----   130   220           9260 
-----   130   230           9924 
-----   130   240           9941 
-----   130   250           8739 
-----   130   260           6652 
-----   130   270           4646 
-----   130   280           3391 
-----   130   290           2365 
-----   130   300           1508 
-----   130   310           1138 
-----   130   320            987 
-----   130   330            982 
-----   130   340           1493 
-----   130   350           2240 
-----   140     0           2580 
-----   140    10           3753 
-----   140    20           3699 
-----   140    30           3507 
-----   140    40           4071 
-----   140    50           4349 
-----   140    60           3477 
-----   140    70           3026 
-----   140    80           2141 
-----   140    90           1922 
-----   140   100           1612 
-----   140   110           2043 
-----   140   120           1618 
-----   140   130           1464 
-----   140   140           1991 
-----   140   150           2497 
-----   140   160           3459 
-----   140   170           4640 
-----   140   180           4893 
-----   140   190           5890 
-----   140   200           6986 
-----   140   210           7688 
-----   140   220           7925 
-----   140   230           7937 
-----   140   240           8046 
-----   140   250           6923 
-----   140   260           5988 
-----   140   270           4539 
-----   140   280           3496 
-----   140   290           2282 
-----   140   300           1379 
-----   140   310           1324 
-----   140   320            879 
-----   140   330           1001 
-----   140   340           1198 
-----   140   350           1786 
-----   150     0           2531 
-----   150    10           3129 
-----   150    20           3165 
-----   150    30           3438 
-----   150    40           4310 
-----   150    50           5743 
-----   150    60           4983 
-----   150    70           3596 
-----   150    80           2502 
-----   150    90           2124 
-----   150   100           2139 
-----   150   110           2841 
-----   150   120           2092 
-----   150   130           1986 
-----   150   140           2038 
-----   150   150           2360 
-----   150   160           3194 
-----   150   170           4279 
-----   150   180           4854 
-----   150   190           5537 
-----   150   200           5953 
-----   150   210           7289 
-----   150   220           7485 
-----   150   230           6738 
-----   150   240           7138 
-----   150   250           6689 
-----   150   260           5788 
-----   150   270           4177 
-----   150   280           3373 
-----   150   290           2204 
-----   150   300           1260 
-----   150   310            995 
-----   150   320            878 
-----   150   330           1235 
-----   150   340           1474 
-----   150   350           1782 
-----   160     0           2363 
-----   160    10           2497 
-----   160    20           2899 
-----   160    30           3899 
-----   160    40           5762 
-----   160    50           7333 
-----   160    60           6465 
-----   160    70           4017 
-----   160    80           3114 
-----   160    90           2972 
-----   160   100           3493 
-----   160   110           3947 
-----   160   120           2849 
-----   160   130           2172 
-----   160   140           2016 
-----   160   150           2293 
-----   160   160           2990 
-----   160   170           3731 
-----   160   180           4616 
-----   160   190           5170 
-----   160   200           5912 
-----   160   210           6737 
-----   160   220           7000 
-----   160   230           7251 
-----   160   240           7372 
-----   160   250           7157 
-----   160   260           6223 
-----   160   270           4706 
-----   160   280           3681 
-----   160   290           2298 
-----   160   300           1533 
-----   160   310           1108 
-----   160   320           1068 
-----   160   330           1191 
-----   160   340           1638 
-----   160   350           2045 
-----   170     0           2254 
-----   170    10           2773 
-----   170    20           3663 
-----   170    30           4144 
-----   170    40           6048 
-----   170    50           8281 
-----   170    60           7658 
-----   170    70           5462 
-----   170    80           4141 
-----   170    90           3694 
-----   170   100           3879 
-----   170   110           4370 
-----   170   120           3765 
-----   170   130           2612 
-----   170   140           2339 
-----   170   150           2954 
-----   170   160           3651 
-----   170   170           4641 
-----   170   180           5664 
-----   170   190           6761 
-----   170   200           7257 
-----   170   210           7871 
-----   170   220           8253 
-----   170   230           9168 
